Salvare curs in baza de date,2025-05-19 16:20:07
Adaugare curs,2025-05-19 16:20:07
Salvare curs in baza de date,2025-05-19 16:20:49
Adaugare curs,2025-05-19 16:20:49
Initializare baza de date,2025-05-19 16:24:39
Listare toti studentii din baza de date,2025-05-19 16:24:39
Listare toti profesorii din baza de date,2025-05-19 16:24:39
Listare toate materiile din baza de date,2025-05-19 16:24:39
Listare toate salile din baza de date,2025-05-19 16:24:39
Cautare materie dupa cod in baza de date,2025-05-19 16:24:39
Cautare profesor dupa ID in baza de date,2025-05-19 16:24:39
Cautare sala dupa ID in baza de date,2025-05-19 16:24:39
Cautare materie dupa cod in baza de date,2025-05-19 16:24:39
Cautare profesor dupa ID in baza de date,2025-05-19 16:24:39
Cautare sala dupa ID in baza de date,2025-05-19 16:24:39
Listare toate cursurile din baza de date,2025-05-19 16:24:39
Afisare detalii profesor,2025-05-19 16:24:56
Salvare curs in baza de date,2025-05-19 16:26:22
Adaugare curs,2025-05-19 16:26:22
Initializare baza de date,2025-05-19 16:29:22
Listare toti studentii din baza de date,2025-05-19 16:29:22
Listare toti profesorii din baza de date,2025-05-19 16:29:22
Listare toate materiile din baza de date,2025-05-19 16:29:22
Listare toate salile din baza de date,2025-05-19 16:29:22
Cautare materie dupa cod in baza de date,2025-05-19 16:29:22
Cautare profesor dupa ID in baza de date,2025-05-19 16:29:22
Cautare sala dupa ID in baza de date,2025-05-19 16:29:22
Cautare materie dupa cod in baza de date,2025-05-19 16:29:22
Cautare profesor dupa ID in baza de date,2025-05-19 16:29:22
Cautare sala dupa ID in baza de date,2025-05-19 16:29:22
Cautare materie dupa cod in baza de date,2025-05-19 16:29:22
Cautare profesor dupa ID in baza de date,2025-05-19 16:29:22
Cautare sala dupa ID in baza de date,2025-05-19 16:29:22
Listare toate cursurile din baza de date,2025-05-19 16:29:22
Salvare curs in baza de date,2025-05-19 16:30:19
Adaugare curs,2025-05-19 16:30:19
Salvare curs in baza de date,2025-05-19 16:31:05
Adaugare curs,2025-05-19 16:31:05
Initializare baza de date,2025-05-19 16:31:24
Listare toti studentii din baza de date,2025-05-19 16:31:24
Listare toti profesorii din baza de date,2025-05-19 16:31:24
Listare toate materiile din baza de date,2025-05-19 16:31:24
Listare toate salile din baza de date,2025-05-19 16:31:24
Cautare materie dupa cod in baza de date,2025-05-19 16:31:24
Cautare profesor dupa ID in baza de date,2025-05-19 16:31:24
Cautare sala dupa ID in baza de date,2025-05-19 16:31:24
Cautare materie dupa cod in baza de date,2025-05-19 16:31:24
Cautare profesor dupa ID in baza de date,2025-05-19 16:31:24
Cautare sala dupa ID in baza de date,2025-05-19 16:31:24
Cautare materie dupa cod in baza de date,2025-05-19 16:31:24
Cautare profesor dupa ID in baza de date,2025-05-19 16:31:24
Cautare sala dupa ID in baza de date,2025-05-19 16:31:24
Cautare materie dupa cod in baza de date,2025-05-19 16:31:24
Cautare profesor dupa ID in baza de date,2025-05-19 16:31:24
Cautare sala dupa ID in baza de date,2025-05-19 16:31:24
Cautare materie dupa cod in baza de date,2025-05-19 16:31:24
Cautare profesor dupa ID in baza de date,2025-05-19 16:31:24
Cautare sala dupa ID in baza de date,2025-05-19 16:31:24
Listare toate cursurile din baza de date,2025-05-19 16:31:24
Afisare detalii profesor,2025-05-19 16:31:49
Initializare baza de date,2025-05-19 16:41:14
Listare toti studentii din baza de date,2025-05-19 16:41:14
Listare toti profesorii din baza de date,2025-05-19 16:41:14
Listare toate materiile din baza de date,2025-05-19 16:41:14
Listare toate salile din baza de date,2025-05-19 16:41:14
Cautare materie dupa cod in baza de date,2025-05-19 16:41:14
Cautare profesor dupa ID in baza de date,2025-05-19 16:41:14
Cautare sala dupa ID in baza de date,2025-05-19 16:41:14
Cautare materie dupa cod in baza de date,2025-05-19 16:41:14
Cautare profesor dupa ID in baza de date,2025-05-19 16:41:14
